Ward and Precinct (Updated 2022),Total Population,White alone,Black or African American,Hispanic or Latino (of any Race),Asian,American Indian and Alaska Native,Native Hawaiian and Other Pacific Islander,Some Other Race,Two or More Non-White Races,"Total Population,Age 18 and over","White alone, Age 18 and over","Black or African American, Age 18 and over","Hispanic or Latino (of any Race), Age 18 and over","Asian, Age 18 and over","American Indian and Alaska Native, Age 18 and over","Native Hawaiian and Other Pacific Islander, Age 18 and over","Some Other Race, Age 18 and over","Two or More Non-White Races, Age 18 and over",Total Group Quarters Population,Correctional Facilities for Adults,Juvenile Facilities,Nursing Facilities,Other Institutional Facilities,College / University Student Housing,Military Quarters,Other Noninstitutional Facilities,Total Housing Units,Occupied Housing Units,Vacant Housing Units
0101,"2,340","1,420",67,652,87,21,2,67,24,"1,980","1,273",48,484,85,19,2,52,17,10,0,0,0,0,0,0,10,"1,121","1,026",95
0102,"2,603",994,81,"1,303",104,2,1,91,27,"2,119",904,67,966,89,2,0,69,22,0,0,0,0,0,0,0,0,"1,083","1,012",71
0103,"5,111","2,287",328,"1,804",479,16,2,148,47,"4,440","2,090",285,"1,446",452,14,0,119,34,0,0,0,0,0,0,0,0,"2,815","2,576",239
0104,"3,019","1,113",133,"1,494",173,11,0,70,25,"2,508","1,027",100,"1,142",154,8,0,57,20,36,0,12,0,0,0,0,24,"1,435","1,306",129
0105,"3,539","1,124",93,"1,958",158,19,1,156,30,"2,810",982,79,"1,467",136,16,1,104,25,15,0,0,0,0,0,0,15,"1,418","1,315",103
0106,"3,301",949,95,"2,019",87,13,1,116,21,"2,601",818,78,"1,514",78,7,1,89,16,9,0,0,0,0,0,0,9,"1,266","1,181",85
0107,"3,331",938,98,"2,027",132,18,4,77,37,"2,601",816,77,"1,509",98,16,4,51,30,13,0,0,0,0,0,0,13,"1,218","1,135",83
0108,"3,826",906,180,"2,418",235,13,4,48,22,"2,953",815,139,"1,731",204,13,1,30,20,26,0,0,0,0,0,0,26,"1,487","1,381",106
0109,"2,721",822,42,"1,664",67,3,0,100,23,"2,119",724,37,"1,198",61,3,0,84,12,0,0,0,0,0,0,0,0,"1,010",933,77
0110,"2,496",560,79,"1,632",90,11,1,101,22,"1,912",489,64,"1,186",77,8,1,69,18,0,0,0,0,0,0,0,0,874,816,58
0111,"2,610","1,140",69,"1,229",84,4,0,74,10,"2,178","1,036",46,961,74,0,0,54,7,3,0,0,0,0,0,0,3,"1,101","1,048",53
0112,"2,492","1,154",80,"1,004",147,2,0,94,11,"2,077","1,032",54,784,116,1,0,81,9,0,0,0,0,0,0,0,0,977,869,108
0113,"3,817","1,610",163,"1,725",182,15,0,93,29,"3,070","1,394",125,"1,309",156,7,0,64,15,9,0,0,0,0,0,0,9,"1,547","1,467",80
0114,"1,860",743,190,771,102,13,0,25,16,"1,458",639,136,559,86,9,0,20,9,132,0,0,132,0,0,0,0,664,630,34
0115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0201,"2,922","2,206",80,204,383,9,0,35,5,"2,384","1,845",68,151,285,6,0,27,2,55,0,0,55,0,0,0,0,"1,310","1,256",54
0202,"2,081","1,756",49,77,178,0,0,13,8,"1,943","1,659",38,70,163,0,0,10,3,0,0,0,0,0,0,0,0,"1,323","1,254",69
0203,"2,360","2,051",27,99,133,4,0,34,12,"2,023","1,784",25,79,92,4,0,28,11,30,0,0,0,0,0,30,0,"1,255","1,201",54
0204,"2,444","1,945",53,239,118,15,2,45,27,"1,932","1,601",36,138,94,14,2,32,15,0,0,0,0,0,0,0,0,"1,073","1,016",57
0205,"2,265","2,061",19,77,68,13,0,21,6,"1,847","1,698",17,43,55,13,0,18,3,7,0,0,0,0,0,0,7,"1,078","1,035",43
0206,"1,923","1,708",19,67,93,18,1,11,6,"1,630","1,461",18,52,73,16,1,5,4,0,0,0,0,0,0,0,0,924,902,22
0207,"1,760","1,273",85,135,220,15,0,21,11,"1,545","1,142",73,105,194,12,0,16,3,18,0,0,0,0,0,0,18,"1,095",903,192
0208,"3,365",626,762,"1,177",660,25,3,44,68,"2,357",499,464,749,557,22,3,32,31,0,0,0,0,0,0,0,0,"1,467","1,365",102
0301,"2,439","2,022",68,157,116,12,1,51,12,"2,227","1,868",63,118,111,12,1,44,10,44,0,0,41,0,0,0,3,"1,506","1,348",158
0302,"2,715","2,395",34,89,146,14,2,29,6,"2,559","2,265",33,83,130,13,2,27,6,124,0,0,0,0,0,116,8,"1,672","1,514",158
0303,"1,803","1,547",19,85,124,6,1,17,4,"1,756","1,519",19,75,121,5,1,12,4,9,0,0,0,0,0,0,9,"1,172","1,084",88
0304,"1,908","1,660",30,92,90,7,0,16,13,"1,824","1,604",27,76,88,7,0,15,7,3,0,0,0,0,0,0,3,"1,217","1,159",58
0305,"2,255","1,513",119,166,409,4,0,43,1,"2,053","1,413",95,151,351,4,0,38,1,0,0,0,0,0,0,0,0,"1,495","1,422",73
0306,"1,844","1,300",108,157,225,19,0,23,12,"1,745","1,238",108,132,215,19,0,22,11,523,0,0,0,0,334,0,189,"1,249",868,381
0307,"1,886","1,501",51,122,183,7,0,15,7,"1,667","1,335",43,104,158,6,0,15,6,0,0,0,0,0,0,0,0,"1,069",976,93
0308,"5,588","2,235",298,482,"2,490",7,3,41,32,"5,116","2,148",286,438,"2,179",7,3,34,21,816,0,0,0,0,470,0,346,"3,039","2,687",352
0309,"2,166","1,288",63,143,618,8,2,33,11,"2,023","1,207",59,131,573,8,2,33,10,16,0,0,0,0,0,0,16,"1,457","1,335",122
0310,"3,284","2,132",190,304,547,10,1,77,23,"3,022","2,000",173,249,513,9,1,67,10,128,34,0,0,57,0,0,37,"2,291","1,815",476
0311,"2,222","1,919",31,124,98,17,2,29,2,"2,122","1,849",23,108,95,17,2,28,0,12,0,0,0,0,0,0,12,"1,443","1,346",97
