Street Address,lat,lon,Ward_ID,Precinct_ID
1202 Commonwealth Ave.,42.350399068112786,-71.1300131172068,21,2103
40 Ashford St.,42.35514357263477,-71.12739287673195,21,2104
186 Marlborough St.,42.35237173176265,-71.0800827325512,5,507
140 Clarendon St.,42.34878105249289,-71.07446002446981,4,402
7 Cortes St.,42.34879876920704,-71.07009964974922,5,513
11 Cortes St.,42.348759093778085,-71.07007103069841,5,513
15 Cortes St.,42.34864248444012,-71.07017467302614,5,513
119 Berkeley St.,42.348687977034736,-71.07121111535378,5,513
37-41 Bowdoin St.,42.36008138314079,-71.06304460186163,3,317
200 Corey Rd.,42.34461090188172,-71.13953463981618,21,2110
15 Bunker Hill St.,42.37633528031116,-71.05628726138615,2,204
258 Main St.,42.37738057746843,-71.06688758836911,2,201
3 Virginia St.,42.317809197201214,-71.06683787302777,13,1305
9 Virginia St.,42.31761099823801,-71.06705403070006,13,1305
26 Windermere Rd.,42.314392249517944,-71.0624457307002,13,1306
22 Windermere Rd.,42.31454551427579,-71.06240601906175,13,1306
70 Brookledge St.,42.30907563723856,-71.08851333440667,12,1207
40 Juliette St.,42.30581595182435,-71.0622247307007,15,1509
44 Fairmount St,42.2810572137993,-71.07275378837437,17,1704
1392 Dorchester Ave.,42.303709531148385,-71.05904443070085,15,1506
45 Lyon St.,42.30680433877279,-71.06092181906224,15,1504
4 Oakman St.,42.28632048760679,-71.04106877673556,16,1610
133 Fuller St.,42.28216770572879,-71.07214468837422,17,1710
180 Adams St.,42.30313105120424,-71.06030317673459,15,1509
136 Hamilton St.,42.30701632273994,-71.06741273440687,15,1503
22 Speedwell St.,42.30451688794507,-71.06739257302844,15,1507
19 Orchardfield St.,42.3042466286099,-71.05845641906238,15,1506
101 Victory Rd.,42.297505221020046,-71.05091050371811,16,1602
30 Pleasant St.,42.31704443655225,-71.05884368837236,13,1308
34 Algonquin St.,42.29748060678871,-71.07480444604572,17,1701
122 Park St.,42.298702831259135,-71.05968977488189,16,1601
45 Bullard St.,42.302277767655326,-71.07456534604552,14,1404
35 Holborn St.,42.31446970969508,-71.08085524789797,12,1206
289 Centre St.,42.294000832342135,-71.06099617302901,16,1604
147 Centre St.,42.29191813117637,-71.06600343070141,17,1706
27 Beale St.,42.28344324577076,-71.06327831721032,16,1608
179-181 Sydney St.,42.3178217009341,-71.05242403255312,13,1308
183 Sydney St.,42.3182546219089,-71.05244938215374,13,1308
25 Mt. Ida Rd.,42.306642917283895,-71.06534063070059,15,1507
2200 Dorchester Ave.,42.274982980611775,-71.06659794604703,16,1611
9 King St.,42.29208565233916,-71.06167538216368,16,1604
28 Leyland St.,42.32064241366641,-71.0699718460445,8,805
28 Rockwell St.,42.28353843293152,-71.07323413255499,17,1710
438 Warren St.,42.31616737199764,-71.08278828837246,12,1206
151-155 Geneva Ave.,42.30581547628578,-71.07756694604531,14,1401
394 Washington St.,42.29822184225322,-71.07234617302872,17,1701
35 Tuttle St.,42.31321924934279,-71.05352627488112,13,1310
6 Hartford St.,42.31826956364947,-71.0735586883724,13,1302
136 Pleasant St.,42.31125938754665,-71.05895180001112,15,1506
27 W. Cottage St.,42.32133480969446,-71.0737772153552,8,805
8 Woodward Pk.,42.3186760604016,-71.07270341906158,13,1302
9 Half Moon St.,42.31688323602657,-71.07165647673396,13,1304
33-35 Bradlee St.,42.29744906073557,-71.07473340371808,17,1701
10 Wales St.,42.29855008942558,-71.08572415953726,14,1407
465 Columbia Rd.,42.31370515566923,-71.06771386138954,15,1501
29 W. Cottage St.,42.32111695851817,-71.07398189022528,8,805
20 Seaver St.,42.313379250522765,-71.09385904604488,12,1208
754 Blue Hill Ave.,42.29937572251507,-71.08615816139027,14,1407
53 Glenway St.,42.30084944158227,-71.08373063255411,14,1406
69 Glenway St.,42.30052083038333,-71.08312897488186,14,1406
20 Fowler St.,42.30045163651137,-71.0832075883733,14,1406
102-112 Talbot Ave.,42.29407892778033,-71.08285613070133,14,1407
57 Glenway St.,42.30078303219246,-71.08359042263491,14,1406
612 Columbia Rd.,42.317956763802194,-71.06462358837231,7,710
555-559 Dudley St.,42.32151404323974,-71.07242363069986,8,805
120 Bowdoin St.,42.303390912837166,-71.07172050371773,14,1404
250 Seaver St.,42.30710916035137,-71.0867625307006,12,1207
1063 Blue Hill Ave.,42.28874382290818,-71.09037758837384,14,1411
1059 Blue Hill Ave.,42.28876315445141,-71.09041720371859,14,1411
2 Brookview St.,42.288621733979106,-71.09040687302928,14,1411
406 Meridian St.,42.3806231188786,-71.03947473069672,1,108
81 Westland Ave.,42.34436291964055,-71.08916466138785,4,407
83 Westland Ave.,42.344409838710426,-71.08923600371567,4,407
85 Westland Ave.,42.34436110037154,-71.08930604604319,4,407
459 Park Drive,42.346159233036914,-71.10438689022394,21,2101
128 Gordon Ave.,42.26087525825709,-71.13214721721165,18,1812
584 Truman Pky.,42.25459959860819,-71.11631630372038,18,1816
71 Central Ave.,42.259782400621056,-71.12008783440936,18,1813
81 S. Huntington Ave.,42.33005177163522,-71.11167493255243,10,1008
384 Arborway,42.3027761369686,-71.11531538837319,11,1110
404 S. Huntington Ave.,42.32132149255044,-71.1116801306999,19,1903
226 S. Huntington Ave.,42.3255355859175,-71.11169308837201,10,1008
8 Adelaide St.,42.31794440064025,-71.10946317488083,19,1904
10 Adelaide St.,42.3181365292184,-71.10947766138926,19,1904
82 Green St.,42.31214886238533,-71.10928068837272,19,1906
7 Locksley St.,42.31536874066774,-71.11100751906172,19,1905
3368 Washington St.,42.30910907981958,-71.10472261906202,11,1107
137 Amory St.,42.31906662458678,-71.10130470371689,11,1104
